date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
6/16/2019,Fort Collins,Linden Lake,NE,Culex tarsalis,3,CDC Light Trap,FC-069
6/16/2019,Fort Collins,Redwood Gravid,NE,Culex pipiens,3,Gravid Trap,FC-040gr
6/16/2019,Fort Collins,Hemlock,NW,Culex tarsalis,2,CDC Light Trap,FC-036 
6/16/2019,Fort Collins,Prospect Ponds,NE,Culex tarsalis,3,CDC Light Trap,FC-066
6/17/2019,Fort Collins,3001 San Luis,SE,Culex tarsalis,7,CDC Light Trap,FC-027
6/17/2019,Fort Collins,Egret and Rookery,SE,Culex tarsalis,2,CDC Light Trap,FC-053
6/17/2019,Fort Collins,Sage Creek North Gravid,SE,Culex pipiens,3,Gravid Trap,FC-075gr
6/18/2019,Fort Collins,603 Gilgalad Way,NW,Culex pipiens,1,CDC Light Trap,FC-052
6/19/2019,Fort Collins,Registry Ridge,SW,Culex tarsalis,6,CDC Light Trap,FC-057
6/19/2019,Fort Collins,Ben's Park,SE,Culex tarsalis,1,CDC Light Trap,FC-029
6/19/2019,Fort Collins,Kunz Ct. and Brook Dr. Gravid,SW,Culex pipiens,6,Gravid Trap,FC-089gr
6/19/2019,Fort Collins,Ben's Park Gravid,SE,Culex pipiens,10,Gravid Trap,FC-029gr
6/16/2019,Loveland,7 Lakes Gravid,LV,Culex pipiens,1,Gravid Trap,LV-079gr
6/16/2019,Loveland,Outlet Mall Apartments,LV,Culex tarsalis,1,CDC Light Trap,LV-066
6/16/2019,Loveland,7 Lakes Park,LV,Culex tarsalis,2,CDC Light Trap,LV-078
6/16/2019,Loveland,Sundisk and 13E,LV,Culex tarsalis,1,CDC Light Trap,LV-116
6/17/2019,Loveland,915 S Boise,LV,Culex tarsalis,1,CDC Light Trap,LV-112
6/17/2019,Loveland,Jefferson and 11th,LV,Culex tarsalis,1,CDC Light Trap,LV-074
6/17/2019,Loveland,Cr 20 and 9,LV,Culex tarsalis,2,CDC Light Trap,LV-104
6/17/2019,Loveland,Storage Yard and 2nd,LV,Culex tarsalis,1,CDC Light Trap,LV-124
6/17/2019,Loveland,Blue Tree Realty,LV,Culex pipiens,1,CDC Light Trap,LV-100
6/18/2019,Loveland,Jill Drive Pond,LV,Culex tarsalis,1,CDC Light Trap,LV-114
6/18/2019,Loveland,End of City Limits North,LV,Culex pipiens,1,CDC Light Trap,LV-120
6/18/2019,Loveland,Cattail Pond,LV,Culex tarsalis,10,CDC Light Trap,LV-020
6/19/2019,Loveland,Hendler Gravid,LV,Culex pipiens,1,Gravid Trap,LV-010gr
6/19/2019,Loveland,West 43rd Railroad,LV,Culex pipiens,1,CDC Light Trap,LV-105
6/19/2019,Loveland,West 43rd Railroad,LV,Culex tarsalis,1,CDC Light Trap,LV-105
6/19/2019,Loveland,Benson Sculpture Park,LV,Culex tarsalis,5,CDC Light Trap,LV-098
6/18/2019,Berthoud,Berthoud North,BE,Culex tarsalis,4,CDC Light Trap,LC-049 
6/16/2019,Timnath,Timnath - Golf Course,Timnath,Culex pipiens,1,CDC Light Trap,LC-022 
6/16/2019,Timnath,Timnath - Wildwing,Timnath,Culex tarsalis,2,CDC Light Trap,LC-050 
6/16/2019,Timnath,Timnath - Serratoga Falls,Timnath,Culex tarsalis,2,CDC Light Trap,LC-051 
