date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
7/18/2023,Berthoud,Berthoud Park,BE,Culex tarsalis,640,CDC Light Trap,LC-001 
7/18/2023,Berthoud,Berthoud Park,BE,Culex pipiens,3,CDC Light Trap,LC-001 
7/18/2023,Berthoud,Berthoud North,BE,Culex tarsalis,122,CDC Light Trap,LC-049 
7/18/2023,Berthoud,Berthoud West,BE,Culex tarsalis,1568,CDC Light Trap,LC-053 
7/18/2023,Berthoud,Berthoud West,BE,Culex pipiens,28,CDC Light Trap,LC-053 
7/18/2023,Berthoud,Berthoud Point,BE,Culex tarsalis,768,CDC Light Trap,LC-054 
7/18/2023,Berthoud,Berthoud East,BE,Culex tarsalis,876,CDC Light Trap,WC-055
7/16/2023,Fort Collins,N. Linden,NE,Culex tarsalis,207,CDC Light Trap,FC-006
7/16/2023,Fort Collins,N. Linden,NE,Culex pipiens,6,CDC Light Trap,FC-006
7/16/2023,Fort Collins,FC Visitor Center,NE,Culex tarsalis,1024,CDC Light Trap,FC-014
7/16/2023,Fort Collins,FC Visitor Center,NE,Culex pipiens,68,CDC Light Trap,FC-014
7/16/2023,Fort Collins,Edora Park,NE,Culex pipiens,56,CDC Light Trap,FC-019
7/16/2023,Fort Collins,Edora Park,NE,Culex tarsalis,611,CDC Light Trap,FC-019
7/16/2023,Fort Collins,Country Club,NE,Culex tarsalis,148,CDC Light Trap,FC-034
7/16/2023,Fort Collins,Hemlock,NW,Culex pipiens,3,CDC Light Trap,FC-036 
7/16/2023,Fort Collins,Hemlock,NW,Culex tarsalis,112,CDC Light Trap,FC-036 
7/16/2023,Fort Collins,Lochside Lane,NE,Culex pipiens,10,CDC Light Trap,FC-038
7/16/2023,Fort Collins,Lochside Lane,NE,Culex tarsalis,342,CDC Light Trap,FC-038
7/16/2023,Fort Collins,Redwood,NE,Culex tarsalis,213,CDC Light Trap,FC-040
7/16/2023,Fort Collins,Redwood Gravid,NE,Culex pipiens,125,Gravid Trap,FC-040gr
7/16/2023,Fort Collins,Redwood Gravid,NE,Culex tarsalis,6,Gravid Trap,FC-040gr
7/16/2023,Fort Collins,Prospect Ponds,NE,Culex pipiens,90,CDC Light Trap,FC-066
7/16/2023,Fort Collins,Prospect Ponds,NE,Culex tarsalis,344,CDC Light Trap,FC-066
7/16/2023,Fort Collins,Prospect Ponds Gravid,NE,Culex pipiens,3,Gravid Trap,FC-066gr
7/16/2023,Fort Collins,Poudre River Trail,NE,Culex tarsalis,30,CDC Light Trap,FC-067
7/16/2023,Fort Collins,Linden Lake Rd,NE,Culex pipiens,3,CDC Light Trap,FC-069
7/16/2023,Fort Collins,Linden Lake Rd,NE,Culex tarsalis,203,CDC Light Trap,FC-069
7/16/2023,Fort Collins,422 Lake Dr,NE,Culex tarsalis,1347,CDC Light Trap,FC-072
7/16/2023,Fort Collins,422 Lake Dr,NE,Culex pipiens,32,CDC Light Trap,FC-072
7/16/2023,Fort Collins,PVH Gravid,NE,Culex pipiens,2,Gravid Trap,FC-091gr
7/16/2023,Fort Collins,Udall Natural Gravid,NE,Culex pipiens,67,Gravid Trap,FC-092gr
7/17/2023,Fort Collins,Big Horn,SE,Culex tarsalis,490,CDC Light Trap,FC-004
7/17/2023,Fort Collins,Boltz,SE,Culex tarsalis,404,CDC Light Trap,FC-023
7/17/2023,Fort Collins,3001 San Luis,SE,Culex tarsalis,95,CDC Light Trap,FC-027
7/17/2023,Fort Collins,Willow Springs,SE,Culex tarsalis,794,CDC Light Trap,FC-031
7/17/2023,Fort Collins,Willow Springs,SE,Culex pipiens,26,CDC Light Trap,FC-031
7/17/2023,Fort Collins,Fossil Creek South,SE,Culex pipiens,43,CDC Light Trap,FC-039
7/17/2023,Fort Collins,Fossil Creek South,SE,Culex tarsalis,1502,CDC Light Trap,FC-039
7/17/2023,Fort Collins,Westshore Ct,SE,Culex tarsalis,243,CDC Light Trap,FC-046
7/17/2023,Fort Collins,Keeneland And Twin Oak,SE,Culex pipiens,3,CDC Light Trap,FC-047
7/17/2023,Fort Collins,Keeneland And Twin Oak,SE,Culex tarsalis,307,CDC Light Trap,FC-047
7/17/2023,Fort Collins,Golden Meadows Ditch,SE,Culex tarsalis,150,CDC Light Trap,FC-050
7/17/2023,Fort Collins,Egret and Rookery,SE,Culex tarsalis,792,CDC Light Trap,FC-053
7/17/2023,Fort Collins,Egret and Rookery,SE,Culex pipiens,2,CDC Light Trap,FC-053
7/17/2023,Fort Collins,Springwood and Lochwood,SE,Culex tarsalis,311,CDC Light Trap,FC-059
7/17/2023,Fort Collins,West Chase,SE,Culex tarsalis,767,CDC Light Trap,FC-064
7/17/2023,Fort Collins,West Chase,SE,Culex pipiens,35,CDC Light Trap,FC-064
7/17/2023,Fort Collins,Rock Creek,SE,Culex tarsalis,380,CDC Light Trap,FC-074
7/17/2023,Fort Collins,Rock Creek,SE,Culex pipiens,2,CDC Light Trap,FC-074
7/17/2023,Fort Collins,Sage Creek North,SE,Culex tarsalis,138,CDC Light Trap,FC-075
7/17/2023,Fort Collins,Sage Creek North,SE,Culex pipiens,6,CDC Light Trap,FC-075
7/17/2023,Fort Collins,Sage Creek North Gravid,SE,Culex tarsalis,11,Gravid Trap,FC-075gr
7/17/2023,Fort Collins,Sage Creek North Gravid,SE,Culex pipiens,57,Gravid Trap,FC-075gr
7/17/2023,Fort Collins,English Ranch Park Gravid,SE,Culex pipiens,32,Gravid Trap,FC-088gr
7/18/2023,Fort Collins,Golden Current,NW,Culex pipiens,66,CDC Light Trap,FC-011
7/18/2023,Fort Collins,Golden Current,NW,Culex tarsalis,217,CDC Light Trap,FC-011
7/18/2023,Fort Collins,Stuart and Dorset,NW,Culex pipiens,2,CDC Light Trap,FC-015
7/18/2023,Fort Collins,Stuart and Dorset,NW,Culex tarsalis,274,CDC Light Trap,FC-015
7/18/2023,Fort Collins,Fishback,NW,Culex pipiens,12,CDC Light Trap,FC-041
7/18/2023,Fort Collins,Fishback,NW,Culex tarsalis,519,CDC Light Trap,FC-041
7/18/2023,Fort Collins,Casa Grande and Downing,SW,Culex pipiens,40,CDC Light Trap,FC-049
7/18/2023,Fort Collins,Casa Grande and Downing,SW,Culex tarsalis,339,CDC Light Trap,FC-049
7/18/2023,Fort Collins,Spring Creek Trail-- Michener Dr,SW,Culex tarsalis,248,CDC Light Trap,FC-058
7/18/2023,Fort Collins,Spring Creek Trail-- Michener Dr,SW,Culex pipiens,12,CDC Light Trap,FC-058
7/18/2023,Fort Collins,Holley Plant Research Center,NW,Culex pipiens,10,CDC Light Trap,FC-061
7/18/2023,Fort Collins,Holley Plant Research Center,NW,Culex tarsalis,512,CDC Light Trap,FC-061
7/18/2023,Fort Collins,Red Fox Meadows,NW,Culex pipiens,24,CDC Light Trap,FC-063
7/18/2023,Fort Collins,Red Fox Meadows,NW,Culex tarsalis,132,CDC Light Trap,FC-063
7/18/2023,Fort Collins,Red Fox Meadows Gravid,NW,Culex pipiens,274,Gravid Trap,FC-063gr
7/18/2023,Fort Collins,Red Fox Meadows Gravid,NW,Culex tarsalis,3,Gravid Trap,FC-063gr
7/18/2023,Fort Collins,118 S Grant ,NW,Culex pipiens,1,CDC Light Trap,FC-073
7/18/2023,Fort Collins,118 S Grant ,NW,Culex tarsalis,171,CDC Light Trap,FC-073
7/18/2023,Fort Collins,Mountain Grandview Cemetery Gravid,NW,Culex pipiens,93,Gravid Trap,FC-090gr
7/18/2023,Fort Collins,Mountain Grandview Cemetery Gravid,NW,Culex tarsalis,1,Gravid Trap,FC-090gr
7/19/2023,Fort Collins,Magic Carpet,SW,Culex pipiens,15,CDC Light Trap,FC-001
7/19/2023,Fort Collins,Magic Carpet,SW,Culex tarsalis,221,CDC Light Trap,FC-001
7/19/2023,Fort Collins,Ben's Park,SE,Culex pipiens,14,CDC Light Trap,FC-029
7/19/2023,Fort Collins,Ben's Park,SE,Culex tarsalis,284,CDC Light Trap,FC-029
7/19/2023,Fort Collins,Ben's Park Gravid,SE,Culex pipiens,15,Gravid Trap,FC-029gr
7/19/2023,Fort Collins,Chelsea Ridge,SW,Culex tarsalis,473,CDC Light Trap,FC-037
7/19/2023,Fort Collins,Chelsea Ridge,SW,Culex pipiens,41,CDC Light Trap,FC-037
7/19/2023,Fort Collins,737 Parliament,SE,Culex pipiens,3,CDC Light Trap,FC-054
7/19/2023,Fort Collins,737 Parliament,SE,Culex tarsalis,117,CDC Light Trap,FC-054
7/19/2023,Fort Collins,Registry Ridge,SW,Culex pipiens,16,CDC Light Trap,FC-057
7/19/2023,Fort Collins,Registry Ridge,SW,Culex tarsalis,286,CDC Light Trap,FC-057
