date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
7/19/2022,Berthoud,Berthoud Park,BE,Culex tarsalis,130,CDC Light Trap,LC-001 
7/19/2022,Berthoud,Berthoud Park,BE,Culex pipiens,5,CDC Light Trap,LC-001 
7/19/2022,Berthoud,Berthoud North,BE,Culex tarsalis,144,CDC Light Trap,LC-049 
7/19/2022,Berthoud,Berthoud West,BE,Culex tarsalis,87,CDC Light Trap,LC-053 
7/19/2022,Berthoud,Berthoud West,BE,Culex pipiens,6,CDC Light Trap,LC-053 
7/19/2022,Berthoud,Berthoud Point,BE,Culex tarsalis,87,CDC Light Trap,LC-054 
7/19/2022,Berthoud,Berthoud Point,BE,Culex pipiens,1,CDC Light Trap,LC-054 
7/19/2022,Berthoud,Berthoud East,BE,Culex tarsalis,19,CDC Light Trap,WC-055
7/17/2022,Fort Collins,N. Linden,NE,Culex tarsalis,57,CDC Light Trap,FC-006
7/17/2022,Fort Collins,FC Visitor Center,NE,Culex pipiens,130,CDC Light Trap,FC-014
7/17/2022,Fort Collins,FC Visitor Center,NE,Culex tarsalis,150,CDC Light Trap,FC-014
7/17/2022,Fort Collins,Edora Park,NE,Culex pipiens,8,CDC Light Trap,FC-019
7/17/2022,Fort Collins,Edora Park,NE,Culex tarsalis,115,CDC Light Trap,FC-019
7/17/2022,Fort Collins,Country Club,NE,Culex tarsalis,290,CDC Light Trap,FC-034
7/17/2022,Fort Collins,Hemlock,NW,Culex tarsalis,11,CDC Light Trap,FC-036 
7/17/2022,Fort Collins,Lochside Lane,NE,Culex tarsalis,60,CDC Light Trap,FC-038
7/17/2022,Fort Collins,Lochside Lane,NE,Culex pipiens,1,CDC Light Trap,FC-038
7/17/2022,Fort Collins,Redwood,NE,Culex tarsalis,67,CDC Light Trap,FC-040
7/17/2022,Fort Collins,Redwood,NE,Culex pipiens,21,CDC Light Trap,FC-040
7/17/2022,Fort Collins,Redwood Gravid,NE,Culex pipiens,39,Gravid Trap,FC-040gr
7/17/2022,Fort Collins,Prospect Ponds,NE,Culex pipiens,210,CDC Light Trap,FC-066
7/17/2022,Fort Collins,Prospect Ponds,NE,Culex tarsalis,206,CDC Light Trap,FC-066
7/17/2022,Fort Collins,Prospect Ponds Gravid,NE,Culex pipiens,31,Gravid Trap,FC-066gr
7/17/2022,Fort Collins,Poudre River Trail,NE,Culex pipiens,13,CDC Light Trap,FC-067
7/17/2022,Fort Collins,Poudre River Trail,NE,Culex tarsalis,178,CDC Light Trap,FC-067
7/17/2022,Fort Collins,Linden Lake Rd,NE,Culex pipiens,4,CDC Light Trap,FC-069
7/17/2022,Fort Collins,Linden Lake Rd,NE,Culex tarsalis,95,CDC Light Trap,FC-069
7/17/2022,Fort Collins,422 Lake Dr,NE,Culex tarsalis,146,CDC Light Trap,FC-072
7/17/2022,Fort Collins,422 Lake Dr,NE,Culex pipiens,2,CDC Light Trap,FC-072
7/17/2022,Fort Collins,PVH Gravid,NE,Culex pipiens,55,Gravid Trap,FC-091gr
7/17/2022,Fort Collins,Udall Natural Gravid,NE,Culex pipiens,16,Gravid Trap,FC-092gr
7/18/2022,Fort Collins,Big Horn,SE,Culex pipiens,5,CDC Light Trap,FC-004
7/18/2022,Fort Collins,Big Horn,SE,Culex tarsalis,121,CDC Light Trap,FC-004
7/18/2022,Fort Collins,Boltz,SE,Culex tarsalis,37,CDC Light Trap,FC-023
7/18/2022,Fort Collins,3001 San Luis,SE,Culex pipiens,11,CDC Light Trap,FC-027
7/18/2022,Fort Collins,3001 San Luis,SE,Culex tarsalis,100,CDC Light Trap,FC-027
7/18/2022,Fort Collins,Willow Springs,SE,Culex tarsalis,94,CDC Light Trap,FC-031
7/18/2022,Fort Collins,Willow Springs,SE,Culex pipiens,4,CDC Light Trap,FC-031
