date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
6/6/2023,Berthoud,Berthoud Park,BE,Culex tarsalis,9,CDC Light Trap,LC-001 
6/6/2023,Berthoud,Berthoud North,BE,Culex tarsalis,3,CDC Light Trap,LC-049 
6/6/2023,Berthoud,Berthoud West,BE,Culex tarsalis,19,CDC Light Trap,LC-053 
6/6/2023,Berthoud,Berthoud Point,BE,Culex tarsalis,16,CDC Light Trap,LC-054 
6/6/2023,Berthoud,Berthoud East,BE,Culex tarsalis,17,CDC Light Trap,WC-055
6/4/2023,Fort Collins,FC Visitor Center,NE,Culex tarsalis,3,CDC Light Trap,FC-014
6/4/2023,Fort Collins,Edora Park,NE,Culex pipiens,1,CDC Light Trap,FC-019
6/4/2023,Fort Collins,Country Club,NE,Culex tarsalis,2,CDC Light Trap,FC-034
6/4/2023,Fort Collins,Hemlock,NW,Culex tarsalis,1,CDC Light Trap,FC-036 
6/4/2023,Fort Collins,Hemlock,NW,Culex pipiens,1,CDC Light Trap,FC-036 
6/4/2023,Fort Collins,Redwood Gravid,NE,Culex pipiens,2,Gravid Trap,FC-040gr
6/4/2023,Fort Collins,Prospect Ponds,NE,Culex tarsalis,1,CDC Light Trap,FC-066
6/4/2023,Fort Collins,Prospect Ponds,NE,Culex pipiens,2,CDC Light Trap,FC-066
6/4/2023,Fort Collins,Prospect Ponds Gravid,NE,Culex pipiens,1,Gravid Trap,FC-066gr
6/4/2023,Fort Collins,Prospect Ponds Gravid,NE,Culex tarsalis,2,Gravid Trap,FC-066gr
6/4/2023,Fort Collins,Linden Lake Rd,NE,Culex tarsalis,1,CDC Light Trap,FC-069
6/4/2023,Fort Collins,Udall Natural Gravid,NE,Culex pipiens,3,Gravid Trap,FC-092gr
6/5/2023,Fort Collins,Big Horn,SE,Culex tarsalis,6,CDC Light Trap,FC-004
6/5/2023,Fort Collins,Boltz,SE,Culex tarsalis,1,CDC Light Trap,FC-023
6/5/2023,Fort Collins,3001 San Luis,SE,Culex tarsalis,2,CDC Light Trap,FC-027
6/5/2023,Fort Collins,Willow Springs,SE,Culex pipiens,2,CDC Light Trap,FC-031
6/5/2023,Fort Collins,Willow Springs,SE,Culex tarsalis,7,CDC Light Trap,FC-031
6/5/2023,Fort Collins,Fossil Creek South,SE,Culex tarsalis,2,CDC Light Trap,FC-039
6/5/2023,Fort Collins,Westshore Ct,SE,Culex tarsalis,2,CDC Light Trap,FC-046
6/5/2023,Fort Collins,Westshore Ct,SE,Culex pipiens,2,CDC Light Trap,FC-046
6/5/2023,Fort Collins,Keeneland And Twin Oak,SE,Culex tarsalis,6,CDC Light Trap,FC-047
6/5/2023,Fort Collins,Golden Meadows Ditch,SE,Culex tarsalis,5,CDC Light Trap,FC-050
6/5/2023,Fort Collins,Egret and Rookery,SE,Culex tarsalis,5,CDC Light Trap,FC-053
6/5/2023,Fort Collins,Springwood and Lochwood,SE,Culex pipiens,1,CDC Light Trap,FC-059
6/5/2023,Fort Collins,Springwood and Lochwood,SE,Culex tarsalis,2,CDC Light Trap,FC-059
6/5/2023,Fort Collins,West Chase,SE,Culex tarsalis,14,CDC Light Trap,FC-064
6/5/2023,Fort Collins,West Chase,SE,Culex pipiens,1,CDC Light Trap,FC-064
6/5/2023,Fort Collins,Rock Creek,SE,Culex tarsalis,8,CDC Light Trap,FC-074
6/5/2023,Fort Collins,Sage Creek North,SE,Culex tarsalis,7,CDC Light Trap,FC-075
6/5/2023,Fort Collins,Sage Creek North,SE,Culex pipiens,3,CDC Light Trap,FC-075
6/5/2023,Fort Collins,Sage Creek North Gravid,SE,Culex tarsalis,1,Gravid Trap,FC-075gr
6/5/2023,Fort Collins,English Ranch Park Gravid,SE,Culex pipiens,11,Gravid Trap,FC-088gr
6/6/2023,Fort Collins,Golden Current,NW,Culex tarsalis,5,CDC Light Trap,FC-011
6/6/2023,Fort Collins,Golden Current,NW,Culex pipiens,4,CDC Light Trap,FC-011
6/6/2023,Fort Collins,Stuart and Dorset,NW,Culex tarsalis,1,CDC Light Trap,FC-015
6/6/2023,Fort Collins,Fishback,NW,Culex tarsalis,3,CDC Light Trap,FC-041
6/6/2023,Fort Collins,Fishback,NW,Culex pipiens,2,CDC Light Trap,FC-041
6/6/2023,Fort Collins,603 Gilgalad Way,NW,Culex tarsalis,1,CDC Light Trap,FC-052
6/6/2023,Fort Collins,603 Gilgalad Way,NW,Culex pipiens,1,CDC Light Trap,FC-052
6/6/2023,Fort Collins,Spring Creek Trail-- Michener Dr,SW,Culex tarsalis,1,CDC Light Trap,FC-058
6/6/2023,Fort Collins,808 Ponderosa,NW,Culex tarsalis,2,CDC Light Trap,FC-060
6/6/2023,Fort Collins,808 Ponderosa,NW,Culex pipiens,1,CDC Light Trap,FC-060
6/6/2023,Fort Collins,Holley Plant Research Center,NW,Culex tarsalis,16,CDC Light Trap,FC-061
6/6/2023,Fort Collins,Holley Plant Research Center,NW,Culex pipiens,3,CDC Light Trap,FC-061
6/6/2023,Fort Collins,Red Fox Meadows Gravid,NW,Culex pipiens,1,Gravid Trap,FC-063gr
6/6/2023,Fort Collins,118 S Grant ,NW,Culex tarsalis,10,CDC Light Trap,FC-073
6/6/2023,Fort Collins,118 S Grant ,NW,Culex pipiens,4,CDC Light Trap,FC-073
6/6/2023,Fort Collins,Mountain Grandview Cemetery Gravid,NW,Culex pipiens,1,Gravid Trap,FC-090gr
6/7/2023,Fort Collins,Magic Carpet,SW,Culex tarsalis,5,CDC Light Trap,FC-001
6/7/2023,Fort Collins,Magic Carpet,SW,Culex pipiens,3,CDC Light Trap,FC-001
6/7/2023,Fort Collins,Ben's Park,SE,Culex tarsalis,1,CDC Light Trap,FC-029
6/7/2023,Fort Collins,Ben's Park,SE,Culex pipiens,2,CDC Light Trap,FC-029
6/7/2023,Fort Collins,Chelsea Ridge,SW,Culex tarsalis,18,CDC Light Trap,FC-037
6/7/2023,Fort Collins,737 Parliament,SE,Culex tarsalis,5,CDC Light Trap,FC-054
6/7/2023,Fort Collins,737 Parliament,SE,Culex pipiens,1,CDC Light Trap,FC-054
6/7/2023,Fort Collins,Registry Ridge,SW,Culex tarsalis,8,CDC Light Trap,FC-057
6/7/2023,Fort Collins,Registry Ridge,SW,Culex pipiens,1,CDC Light Trap,FC-057
6/7/2023,Fort Collins,Water's Edge at Blue Mesa,SW,Culex tarsalis,2,CDC Light Trap,FC-062
6/7/2023,Fort Collins,Water's Edge at Blue Mesa,SW,Culex pipiens,5,CDC Light Trap,FC-062
6/7/2023,Fort Collins,Silvergate Rd,SW,Culex tarsalis,1,CDC Light Trap,FC-071
6/7/2023,Fort Collins,Silvergate Rd,SW,Culex pipiens,1,CDC Light Trap,FC-071
6/7/2023,Fort Collins,Kunz Ct. and Brook Dr. Gravid,SW,Culex pipiens,2,Gravid Trap,FC-089gr
6/7/2023,Fort Collins,Lopez Elementary,SW,Culex tarsalis,14,CDC Light Trap,FC-093
6/7/2023,Fort Collins,Lopez Elementary,SW,Culex pipiens,5,CDC Light Trap,FC-093
6/4/2023,Loveland,29th and Madison,LV,Culex tarsalis,2,CDC Light Trap,LV-004
