date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
9/12/2022,Fort Collins,Magic Carpet,SW,Culex pipiens,10,CDC Light Trap,FC-001
9/12/2022,Fort Collins,Magic Carpet,SW,Culex tarsalis,2,CDC Light Trap,FC-001
9/12/2022,Fort Collins,Big Horn,SE,Culex tarsalis,4,CDC Light Trap,FC-004
9/12/2022,Fort Collins,Big Horn,SE,Culex pipiens,90,CDC Light Trap,FC-004
9/13/2022,Fort Collins,N. Linden,NE,Culex tarsalis,1,CDC Light Trap,FC-006
9/13/2022,Fort Collins,N. Linden,NE,Culex pipiens,8,CDC Light Trap,FC-006
9/13/2022,Fort Collins,Golden Current,NW,Culex pipiens,11,CDC Light Trap,FC-011
9/13/2022,Fort Collins,Golden Current,NW,Culex tarsalis,1,CDC Light Trap,FC-011
9/13/2022,Fort Collins,FC Visitor Center,NE,Culex tarsalis,9,CDC Light Trap,FC-014
9/13/2022,Fort Collins,FC Visitor Center,NE,Culex pipiens,496,CDC Light Trap,FC-014
9/13/2022,Fort Collins,Stuart and Dorset,NW,Culex pipiens,1,CDC Light Trap,FC-015
9/13/2022,Fort Collins,Stuart and Dorset,NW,Culex tarsalis,5,CDC Light Trap,FC-015
9/13/2022,Fort Collins,Edora Park,NE,Culex pipiens,43,CDC Light Trap,FC-019
9/13/2022,Fort Collins,Edora Park,NE,Culex tarsalis,3,CDC Light Trap,FC-019
9/12/2022,Fort Collins,Boltz,SE,Culex pipiens,11,CDC Light Trap,FC-023
9/12/2022,Fort Collins,Boltz,SE,Culex tarsalis,2,CDC Light Trap,FC-023
9/12/2022,Fort Collins,3001 San Luis,SE,Culex tarsalis,3,CDC Light Trap,FC-027
9/12/2022,Fort Collins,3001 San Luis,SE,Culex pipiens,73,CDC Light Trap,FC-027
9/12/2022,Fort Collins,Ben's Park,SE,Culex pipiens,3,CDC Light Trap,FC-029
9/12/2022,Fort Collins,Ben's Park,SE,Culex tarsalis,3,CDC Light Trap,FC-029
9/12/2022,Fort Collins,Ben's Park Gravid,SE,Culex pipiens,19,Gravid Trap,FC-029gr
9/12/2022,Fort Collins,Willow Springs,SE,Culex pipiens,1,CDC Light Trap,FC-031
9/13/2022,Fort Collins,Country Club,NE,Culex tarsalis,7,CDC Light Trap,FC-034
9/13/2022,Fort Collins,Hemlock,NW,Culex pipiens,9,CDC Light Trap,FC-036 
9/12/2022,Fort Collins,Chelsea Ridge,SW,Culex pipiens,4,CDC Light Trap,FC-037
9/12/2022,Fort Collins,Chelsea Ridge,SW,Culex tarsalis,24,CDC Light Trap,FC-037
9/13/2022,Fort Collins,Lochside Lane,NE,Culex pipiens,30,CDC Light Trap,FC-038
9/13/2022,Fort Collins,Lochside Lane,NE,Culex tarsalis,6,CDC Light Trap,FC-038
9/12/2022,Fort Collins,Fossil Creek South,SE,Culex tarsalis,2,CDC Light Trap,FC-039
9/12/2022,Fort Collins,Fossil Creek South,SE,Culex pipiens,5,CDC Light Trap,FC-039
9/13/2022,Fort Collins,Redwood,NE,Culex tarsalis,2,CDC Light Trap,FC-040
9/13/2022,Fort Collins,Redwood,NE,Culex pipiens,61,CDC Light Trap,FC-040
9/13/2022,Fort Collins,Redwood Gravid,NE,Culex pipiens,68,Gravid Trap,FC-040gr
9/13/2022,Fort Collins,Fishback,NW,Culex pipiens,4,CDC Light Trap,FC-041
9/13/2022,Fort Collins,Fishback,NW,Culex tarsalis,2,CDC Light Trap,FC-041
9/12/2022,Fort Collins,Westshore Ct,SE,Culex pipiens,13,CDC Light Trap,FC-046
9/12/2022,Fort Collins,Westshore Ct,SE,Culex tarsalis,9,CDC Light Trap,FC-046
9/12/2022,Fort Collins,Keeneland And Twin Oak,SE,Culex pipiens,2,CDC Light Trap,FC-047
9/12/2022,Fort Collins,Keeneland And Twin Oak,SE,Culex tarsalis,1,CDC Light Trap,FC-047
9/13/2022,Fort Collins,Casa Grande and Downing,SW,Culex tarsalis,2,CDC Light Trap,FC-049
9/12/2022,Fort Collins,Golden Meadows Ditch,SE,Culex tarsalis,2,CDC Light Trap,FC-050
9/12/2022,Fort Collins,Golden Meadows Ditch,SE,Culex pipiens,93,CDC Light Trap,FC-050
9/13/2022,Fort Collins,603 Gilgalad Way,NW,Culex pipiens,1,CDC Light Trap,FC-052
9/13/2022,Fort Collins,603 Gilgalad Way,NW,Culex tarsalis,1,CDC Light Trap,FC-052
9/12/2022,Fort Collins,Egret and Rookery,SE,Culex pipiens,3,CDC Light Trap,FC-053
9/12/2022,Fort Collins,737 Parliament,SE,Culex pipiens,1,CDC Light Trap,FC-054
9/12/2022,Fort Collins,Registry Ridge,SW,Culex tarsalis,8,CDC Light Trap,FC-057
9/12/2022,Fort Collins,Springwood and Lochwood,SE,Culex tarsalis,4,CDC Light Trap,FC-059
9/12/2022,Fort Collins,Springwood and Lochwood,SE,Culex pipiens,80,CDC Light Trap,FC-059
9/13/2022,Fort Collins,808 Ponderosa,NW,Culex pipiens,2,CDC Light Trap,FC-060
9/13/2022,Fort Collins,Holley Plant Research Center,NW,Culex pipiens,1,CDC Light Trap,FC-061
9/12/2022,Fort Collins,Water's Edge at Blue Mesa,SW,Culex pipiens,4,CDC Light Trap,FC-062
9/12/2022,Fort Collins,Water's Edge at Blue Mesa,SW,Culex tarsalis,3,CDC Light Trap,FC-062
9/13/2022,Fort Collins,Red Fox Meadows,NW,Culex pipiens,1,CDC Light Trap,FC-063
9/13/2022,Fort Collins,Red Fox Meadows Gravid,NW,Culex pipiens,4,Gravid Trap,FC-063gr
9/12/2022,Fort Collins,West Chase,SE,Culex pipiens,2,CDC Light Trap,FC-064
9/12/2022,Fort Collins,West Chase,SE,Culex tarsalis,1,CDC Light Trap,FC-064
9/13/2022,Fort Collins,Prospect Ponds,NE,Culex tarsalis,3,CDC Light Trap,FC-066
