date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
6/20/2023,Berthoud,Berthoud Park,BE,Culex pipiens,4,CDC Light Trap,LC-001 
6/20/2023,Berthoud,Berthoud Park,BE,Culex tarsalis,143,CDC Light Trap,LC-001 
6/20/2023,Berthoud,Berthoud North,BE,Culex tarsalis,9,CDC Light Trap,LC-049 
6/20/2023,Berthoud,Berthoud North,BE,Culex pipiens,1,CDC Light Trap,LC-049 
6/20/2023,Berthoud,Berthoud West,BE,Culex tarsalis,30,CDC Light Trap,LC-053 
6/20/2023,Berthoud,Berthoud Point,BE,Culex pipiens,2,CDC Light Trap,LC-054 
6/20/2023,Berthoud,Berthoud Point,BE,Culex tarsalis,285,CDC Light Trap,LC-054 
6/20/2023,Berthoud,Berthoud East,BE,Culex tarsalis,16,CDC Light Trap,WC-055
6/18/2023,Fort Collins,N. Linden,NE,Culex tarsalis,11,CDC Light Trap,FC-006
6/18/2023,Fort Collins,N. Linden,NE,Culex pipiens,3,CDC Light Trap,FC-006
6/18/2023,Fort Collins,FC Visitor Center,NE,Culex tarsalis,7,CDC Light Trap,FC-014
6/18/2023,Fort Collins,Edora Park,NE,Culex pipiens,5,CDC Light Trap,FC-019
6/18/2023,Fort Collins,Edora Park,NE,Culex tarsalis,10,CDC Light Trap,FC-019
6/18/2023,Fort Collins,Country Club,NE,Culex tarsalis,15,CDC Light Trap,FC-034
6/18/2023,Fort Collins,Country Club,NE,Culex pipiens,1,CDC Light Trap,FC-034
6/18/2023,Fort Collins,Hemlock,NW,Culex tarsalis,20,CDC Light Trap,FC-036 
6/18/2023,Fort Collins,Hemlock,NW,Culex pipiens,8,CDC Light Trap,FC-036 
6/18/2023,Fort Collins,Lochside Lane,NE,Culex pipiens,2,CDC Light Trap,FC-038
6/18/2023,Fort Collins,Lochside Lane,NE,Culex tarsalis,4,CDC Light Trap,FC-038
6/18/2023,Fort Collins,Redwood,NE,Culex tarsalis,41,CDC Light Trap,FC-040
6/18/2023,Fort Collins,Prospect Ponds,NE,Culex tarsalis,11,CDC Light Trap,FC-066
6/18/2023,Fort Collins,Prospect Ponds,NE,Culex pipiens,6,CDC Light Trap,FC-066
6/18/2023,Fort Collins,Prospect Ponds Gravid,NE,Culex pipiens,3,Gravid Trap,FC-066gr
6/18/2023,Fort Collins,Poudre River Trail,NE,Culex tarsalis,2,CDC Light Trap,FC-067
6/18/2023,Fort Collins,Linden Lake Rd,NE,Culex pipiens,2,CDC Light Trap,FC-069
6/18/2023,Fort Collins,Linden Lake Rd,NE,Culex tarsalis,8,CDC Light Trap,FC-069
6/18/2023,Fort Collins,422 Lake Dr,NE,Culex tarsalis,17,CDC Light Trap,FC-072
6/18/2023,Fort Collins,422 Lake Dr,NE,Culex pipiens,2,CDC Light Trap,FC-072
6/18/2023,Fort Collins,PVH Gravid,NE,Culex pipiens,4,Gravid Trap,FC-091gr
6/19/2023,Fort Collins,Big Horn,SE,Culex tarsalis,23,CDC Light Trap,FC-004
6/19/2023,Fort Collins,Big Horn,SE,Culex pipiens,2,CDC Light Trap,FC-004
6/19/2023,Fort Collins,Boltz,SE,Culex tarsalis,11,CDC Light Trap,FC-023
6/19/2023,Fort Collins,Boltz,SE,Culex pipiens,2,CDC Light Trap,FC-023
6/19/2023,Fort Collins,3001 San Luis,SE,Culex tarsalis,3,CDC Light Trap,FC-027
6/19/2023,Fort Collins,Willow Springs,SE,Culex pipiens,2,CDC Light Trap,FC-031
6/19/2023,Fort Collins,Willow Springs,SE,Culex tarsalis,71,CDC Light Trap,FC-031
6/19/2023,Fort Collins,Fossil Creek South,SE,Culex tarsalis,23,CDC Light Trap,FC-039
6/19/2023,Fort Collins,Westshore Ct,SE,Culex tarsalis,15,CDC Light Trap,FC-046
6/19/2023,Fort Collins,Westshore Ct,SE,Culex pipiens,2,CDC Light Trap,FC-046
6/19/2023,Fort Collins,Keeneland And Twin Oak,SE,Culex pipiens,4,CDC Light Trap,FC-047
6/19/2023,Fort Collins,Keeneland And Twin Oak,SE,Culex tarsalis,33,CDC Light Trap,FC-047
6/19/2023,Fort Collins,Golden Meadows Ditch,SE,Culex pipiens,1,CDC Light Trap,FC-050
6/19/2023,Fort Collins,Golden Meadows Ditch,SE,Culex tarsalis,7,CDC Light Trap,FC-050
6/19/2023,Fort Collins,Egret and Rookery,SE,Culex tarsalis,27,CDC Light Trap,FC-053
6/19/2023,Fort Collins,Egret and Rookery,SE,Culex pipiens,1,CDC Light Trap,FC-053
6/19/2023,Fort Collins,Springwood and Lochwood,SE,Culex tarsalis,10,CDC Light Trap,FC-059
6/19/2023,Fort Collins,Springwood and Lochwood,SE,Culex pipiens,2,CDC Light Trap,FC-059
6/19/2023,Fort Collins,West Chase,SE,Culex tarsalis,106,CDC Light Trap,FC-064
6/19/2023,Fort Collins,Rock Creek,SE,Culex tarsalis,61,CDC Light Trap,FC-074
6/19/2023,Fort Collins,Rock Creek,SE,Culex pipiens,1,CDC Light Trap,FC-074
6/19/2023,Fort Collins,Sage Creek North,SE,Culex tarsalis,5,CDC Light Trap,FC-075
6/19/2023,Fort Collins,Sage Creek North Gravid,SE,Culex pipiens,10,Gravid Trap,FC-075gr
