date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name,
6/29/2022,Fort Collins,Ben's Park,SE,Culex pipiens,1,CDC Light Trap,FC-029,
6/29/2022,Fort Collins,Ben's Park,SE,Culex tarsalis,14,CDC Light Trap,FC-029,
6/29/2022,Fort Collins,Ben's Park Gravid,SE,Culex pipiens,21,Gravid Trap,FC-029gr,
6/29/2022,Fort Collins,Ben's Park Gravid,SE,Culex tarsalis,1,Gravid Trap,FC-029gr,
6/29/2022,Fort Collins,737 Parliament,SE,Culex tarsalis,8,CDC Light Trap,FC-054,
6/29/2022,Fort Collins,Registry Ridge,SW,Culex tarsalis,1,CDC Light Trap,FC-057,
6/29/2022,Fort Collins,Water's Edge at Blue Mesa,SW,Culex pipiens,1,CDC Light Trap,FC-062,
6/29/2022,Fort Collins,Water's Edge at Blue Mesa,SW,Culex tarsalis,1,CDC Light Trap,FC-062,
6/29/2022,Fort Collins,Red Fox Meadows Gravid,NW,Culex pipiens,16,Gravid Trap,FC-063gr,
6/29/2022,Fort Collins,5029 Crest Dr,SW,Culex tarsalis,1,CDC Light Trap,FC-068,
6/29/2022,Fort Collins,Kunz Ct. and Brook Dr. Gravid,SW,Culex pipiens,18,Gravid Trap,FC-089gr,
6/29/2022,Fort Collins,Lopez Elementary,SW,Culex tarsalis,2,CDC Light Trap,FC-093,
6/26/2022,Loveland,29th and Madison,LV ,Culex pipiens,2,CDC Light Trap,LV-004,
6/26/2022,Loveland,29th and Madison,LV ,Culex tarsalis,10,CDC Light Trap,LV-004,
6/26/2022,Loveland,Outlet Mall Apartments,LV ,Culex tarsalis,13,CDC Light Trap,LV-066,
6/26/2022,Loveland,Horseshoe Pennninsula,LV ,Culex pipiens,2,CDC Light Trap,LV-069,
6/26/2022,Loveland,Horseshoe Pennninsula,LV ,Culex tarsalis,4,CDC Light Trap,LV-069,
6/26/2022,Loveland,7 Lakes Park,LV ,Culex pipiens,1,CDC Light Trap,LV-078,
6/26/2022,Loveland,7 Lakes Park,LV ,Culex tarsalis,8,CDC Light Trap,LV-078,
6/26/2022,Loveland,7 Lakes Gravid,LV ,Culex pipiens,4,Gravid Trap,LV-079gr,
6/26/2022,Loveland,Harding and Reagan,LV ,Culex tarsalis,11,CDC Light Trap,LV-080,
6/26/2022,Loveland,2229 Arikaree,LV ,Culex pipiens,5,CDC Light Trap,LV-088,
6/26/2022,Loveland,2229 Arikaree,LV ,Culex tarsalis,1,CDC Light Trap,LV-088,
6/26/2022,Loveland,Pond at Silver Lake,LV ,Culex tarsalis,7,CDC Light Trap,LV-093,
6/26/2022,Loveland,Boyd Lake,LV ,Culex tarsalis,3,CDC Light Trap,LV-095,
6/26/2022,Loveland,Sundisk and 13E,LV ,Culex pipiens,1,CDC Light Trap,LV-116,
6/26/2022,Loveland,Sundisk and 13E,LV ,Culex tarsalis,3,CDC Light Trap,LV-116,
6/26/2022,Loveland,Centerra,LV ,Culex pipiens,3,CDC Light Trap,LV-117,
6/26/2022,Loveland,Centerra,LV ,Culex tarsalis,15,CDC Light Trap,LV-117,
6/27/2022,Loveland,Jefferson and 11th,LV ,Culex pipiens,1,CDC Light Trap,LV-074,
6/27/2022,Loveland,Jefferson and 11th,LV ,Culex tarsalis,7,CDC Light Trap,LV-074,
6/27/2022,Loveland,Jefferson And 11th Gravid,LV ,Culex pipiens,10,Gravid Trap,LV-074gr,
6/27/2022,Loveland,1105 East 1st Street,LV ,Culex pipiens,1,CDC Light Trap,LV-077,
6/27/2022,Loveland,1105 East 1st Street,LV ,Culex tarsalis,7,CDC Light Trap,LV-077,
6/27/2022,Loveland,9th and DesMoines,LV ,Culex pipiens,13,CDC Light Trap,LV-089,
6/27/2022,Loveland,9th and DesMoines,LV ,Culex tarsalis,144,CDC Light Trap,LV-089,
6/27/2022,Loveland,Cr 20 and 9,LV ,Culex pipiens,10,CDC Light Trap,LV-104,
6/27/2022,Loveland,Cr 20 and 9,LV ,Culex tarsalis,59,CDC Light Trap,LV-104,
6/27/2022,Loveland,Big Thompson ,LV ,Culex pipiens,1,CDC Light Trap,LV-110,
6/27/2022,Loveland,Big Thompson ,LV ,Culex tarsalis,6,CDC Light Trap,LV-110,
6/27/2022,Loveland,915 S Boise,LV ,Culex pipiens,5,CDC Light Trap,LV-112,
6/27/2022,Loveland,915 S Boise,LV ,Culex tarsalis,44,CDC Light Trap,LV-112,
6/27/2022,Loveland,Springs at Marianna,LV ,Culex tarsalis,12,CDC Light Trap,LV-113,
6/27/2022,Loveland,Storage Yard and 2nd St,LV ,Culex tarsalis,9,CDC Light Trap,LV-124,
6/27/2022,Loveland,8th And No Name,LV ,Culex pipiens,2,CDC Light Trap,LV-125,
6/27/2022,Loveland,8th And No Name,LV ,Culex tarsalis,11,CDC Light Trap,LV-125,
6/28/2022,Loveland,Jocelyn and Eagle,LV ,Culex tarsalis,8,CDC Light Trap,LV-019,
6/28/2022,Loveland,Cattail Pond,LV ,Culex tarsalis,89,CDC Light Trap,LV-020,
6/28/2022,Loveland,Linda and 26th ,LV ,Culex tarsalis,1,CDC Light Trap,LV-021,
6/28/2022,Loveland,2001 S Douglas,LV ,Culex tarsalis,41,CDC Light Trap,LV-042,
6/28/2022,Loveland,Del Norte Private Park,LV ,Culex tarsalis,32,CDC Light Trap,LV-067,
6/28/2022,Loveland,Derby Hill,LV ,Culex tarsalis,40,CDC Light Trap,LV-087,
6/28/2022,Loveland,Jill Drive Pond,LV ,Culex tarsalis,48,CDC Light Trap,LV-114,
6/28/2022,Loveland,End of City Limits North,LV ,Culex tarsalis,4,CDC Light Trap,LV-120,
6/29/2022,Loveland,Hendler Gravid,LV ,Culex pipiens,38,Gravid Trap,LV-010gr,
6/29/2022,Loveland,Estrella Park,LV ,Culex pipiens,3,CDC Light Trap,LV-014,
6/29/2022,Loveland,Farasita at Rist Benson,LV ,Culex tarsalis,8,CDC Light Trap,LV-097,
6/29/2022,Loveland,Benson Sculpture Park,LV ,Culex tarsalis,1,CDC Light Trap,LV-098,
6/29/2022,Loveland,Glen Isle Ditch,LV ,Culex pipiens,2,CDC Light Trap,LV-102,
6/29/2022,Loveland,Glen Isle Ditch,LV ,Culex tarsalis,5,CDC Light Trap,LV-102,
6/29/2022,Loveland,Fallgold,LV ,Culex tarsalis,1,CDC Light Trap,LV-122,
6/26/2022,Timnath,Timnath - 5th and Kern,TT,Culex tarsalis,22,CDC Light Trap,LC-010 ,
6/26/2022,Timnath,Timnath - Golf Course,TT,Culex tarsalis,27,CDC Light Trap,LC-022 ,
6/26/2022,Timnath,Timnath - Summerfields,TT,Culex tarsalis,4,CDC Light Trap,LC-048 ,
6/26/2022,Timnath,Timnath - Wildwing,TT,Culex tarsalis,2,CDC Light Trap,LC-050 ,
6/26/2022,Timnath,Timnath - Serratoga Falls,TT,Culex tarsalis,1,CDC Light Trap,LC-051 ,
6/26/2022,Timnath,Timnath - Walmart,TT,Culex tarsalis,126,CDC Light Trap,LC-052 ,
