date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
6/22/2021,Berthoud,Berthoud Park,BE,Culex pipiens,1,CDC Light Trap,LC-001 
6/22/2021,Berthoud,Berthoud Park,BE,Culex tarsalis,31,CDC Light Trap,LC-001 
6/22/2021,Berthoud,Berthoud North,BE,Culex tarsalis,29,CDC Light Trap,LC-049 
6/22/2021,Berthoud,Berthoud West,BE,Culex tarsalis,69,CDC Light Trap,LC-053 
6/22/2021,Berthoud,Berthoud Point,BE,Culex pipiens,2,CDC Light Trap,LC-054 
6/22/2021,Berthoud,Berthoud Point,BE,Culex tarsalis,23,CDC Light Trap,LC-054 
6/22/2021,Berthoud,Berthoud East,BE,Culex tarsalis,36,CDC Light Trap,WC-055
6/20/2021,Fort Collins,N. Linden,NE,Culex tarsalis,5,CDC Light Trap,FC-006
6/20/2021,Fort Collins,N. Linden,NE,Culex pipiens,9,CDC Light Trap,FC-006
6/20/2021,Fort Collins,FC Visitors Center,NE,Culex tarsalis,10,CDC Light Trap,FC-014
6/20/2021,Fort Collins,Edora Park,NE,Culex pipiens,2,CDC Light Trap,FC-019
6/20/2021,Fort Collins,Edora Park,NE,Culex tarsalis,36,CDC Light Trap,FC-019
6/20/2021,Fort Collins,Country Club,NE,Culex pipiens,1,CDC Light Trap,FC-034
6/20/2021,Fort Collins,Country Club,NE,Culex tarsalis,10,CDC Light Trap,FC-034
6/20/2021,Fort Collins,Hemlock,NW,Culex pipiens,3,CDC Light Trap,FC-036 
6/20/2021,Fort Collins,Hemlock,NW,Culex tarsalis,21,CDC Light Trap,FC-036 
6/20/2021,Fort Collins,Lochside Lane,NE,Culex tarsalis,18,CDC Light Trap,FC-038
6/20/2021,Fort Collins,Redwood,NE,Culex tarsalis,1,CDC Light Trap,FC-040
6/20/2021,Fort Collins,Redwood Gravid,NE,Culex pipiens,1,Gravid Trap,FC-040gr
6/20/2021,Fort Collins,Prospect Ponds,NE,Culex tarsalis,4,CDC Light Trap,FC-066
6/20/2021,Fort Collins,Prospect Ponds Gravid,NE,Culex pipiens,16,Gravid Trap,FC-066gr
6/20/2021,Fort Collins,Linden Lake Rd,NE,Culex tarsalis,21,CDC Light Trap,FC-069
6/20/2021,Fort Collins,Udall Natural Gravid,NE,Culex pipiens,7,Gravid Trap,FC-092gr
6/21/2021,Fort Collins,Boltz,SE,Culex tarsalis,5,CDC Light Trap,FC-023
6/21/2021,Fort Collins,Boltz,SE,Culex pipiens,2,CDC Light Trap,FC-023
6/21/2021,Fort Collins,3001 San Luis,SE,Culex tarsalis,49,CDC Light Trap,FC-027
6/21/2021,Fort Collins,3001 San Luis,SE,Culex pipiens,5,CDC Light Trap,FC-027
6/21/2021,Fort Collins,Fossil Creek South,SE,Culex tarsalis,111,CDC Light Trap,FC-039
6/21/2021,Fort Collins,Westshore Ct,SE,Culex tarsalis,13,CDC Light Trap,FC-046
6/21/2021,Fort Collins,Westshore Ct,SE,Culex pipiens,6,CDC Light Trap,FC-046
6/21/2021,Fort Collins,Golden Meadows Ditch,SE,Culex tarsalis,14,CDC Light Trap,FC-050
6/21/2021,Fort Collins,Golden Meadows Ditch,SE,Culex pipiens,6,CDC Light Trap,FC-050
6/21/2021,Fort Collins,Egret and Rookery,SE,Culex tarsalis,10,CDC Light Trap,FC-053
6/21/2021,Fort Collins,Springwood and Lochwood,SE,Culex pipiens,1,CDC Light Trap,FC-059
6/21/2021,Fort Collins,Springwood and Lochwood,SE,Culex tarsalis,7,CDC Light Trap,FC-059
6/21/2021,Fort Collins,West Chase,SE,Culex tarsalis,89,CDC Light Trap,FC-064
6/21/2021,Fort Collins,West Chase,SE,Culex pipiens,4,CDC Light Trap,FC-064
6/21/2021,Fort Collins,Rock Creek,SE,Culex tarsalis,20,CDC Light Trap,FC-074
6/21/2021,Fort Collins,Sage Creek North,SE,Culex pipiens,1,CDC Light Trap,FC-075
6/21/2021,Fort Collins,Sage Creek North,SE,Culex tarsalis,20,CDC Light Trap,FC-075
6/21/2021,Fort Collins,Sage Creek North Gravid,SE,Culex tarsalis,1,Gravid Trap,FC-075gr
6/21/2021,Fort Collins,Sage Creek North Gravid,SE,Culex pipiens,9,Gravid Trap,FC-075gr
6/21/2021,Fort Collins,English Ranch Park Gravid,SE,Culex pipiens,41,Gravid Trap,FC-088gr
6/22/2021,Fort Collins,Stuart and Dorset,NW,Culex tarsalis,3,CDC Light Trap,FC-015
6/22/2021,Fort Collins,Willow Springs,SE,Culex tarsalis,17,CDC Light Trap,FC-031
6/22/2021,Fort Collins,Fishback,NW,Culex tarsalis,5,CDC Light Trap,FC-041
6/22/2021,Fort Collins,Keeneland And Twin Oak,SE,Culex pipiens,2,CDC Light Trap,FC-047
6/22/2021,Fort Collins,Keeneland And Twin Oak,SE,Culex tarsalis,44,CDC Light Trap,FC-047
6/22/2021,Fort Collins,Casa Grande and Downing,SW,Culex tarsalis,2,CDC Light Trap,FC-049
6/22/2021,Fort Collins,603 Gilgalad Way,NW,Culex tarsalis,2,CDC Light Trap,FC-052
6/22/2021,Fort Collins,808 Ponderosa,NW,Culex tarsalis,4,CDC Light Trap,FC-060
6/22/2021,Fort Collins,Holley Plant Research Center,NW,Culex pipiens,9,CDC Light Trap,FC-061
6/22/2021,Fort Collins,Holley Plant Research Center,NW,Culex tarsalis,11,CDC Light Trap,FC-061
6/22/2021,Fort Collins,Red Fox Meadows,NW,Culex tarsalis,3,CDC Light Trap,FC-063
6/22/2021,Fort Collins,Red Fox Meadows Gravid,NW,Culex pipiens,25,Gravid Trap,FC-063gr
6/22/2021,Fort Collins,Mountain Grandview Cemetery Gravid,NW,Culex pipiens,27,Gravid Trap,FC-090gr
6/23/2021,Fort Collins,Ben's Park,SE,Culex tarsalis,18,CDC Light Trap,FC-029
6/23/2021,Fort Collins,Ben's Park,SE,Culex pipiens,1,CDC Light Trap,FC-029
6/23/2021,Fort Collins,Ben's Park Gravid,SE,Culex pipiens,34,Gravid Trap,FC-029gr
6/23/2021,Fort Collins,Chelsea Ridge,SW,Culex tarsalis,4,CDC Light Trap,FC-037
6/23/2021,Fort Collins,737 Parliament,SE,Culex tarsalis,85,CDC Light Trap,FC-054
6/23/2021,Fort Collins,737 Parliament,SE,Culex pipiens,3,CDC Light Trap,FC-054
6/23/2021,Fort Collins,Water's Edge at Blue Mesa,SW,Culex tarsalis,7,CDC Light Trap,FC-062
6/23/2021,Fort Collins,5029 Crest Dr,SW,Culex tarsalis,13,CDC Light Trap,FC-068
6/23/2021,Fort Collins,Silvergate Rd,SW,Culex tarsalis,2,CDC Light Trap,FC-071
6/23/2021,Fort Collins,Kunz Ct. and Brook Dr. Gravid,SW,Culex pipiens,36,Gravid Trap,FC-089gr
6/23/2021,Fort Collins,Lopez Elementary,SW,Culex pipiens,1,CDC Light Trap,FC-093
6/23/2021,Fort Collins,Lopez Elementary,SW,Culex tarsalis,23,CDC Light Trap,FC-093
6/20/2021,Loveland,29th and Madison,LV,Culex tarsalis,7,CDC Light Trap,LV-004
6/20/2021,Loveland,Outlet Mall Apartments,LV,Culex tarsalis,1,CDC Light Trap,LV-066
6/20/2021,Loveland,Horseshoe Pennninsula,LV,Culex tarsalis,23,CDC Light Trap,LV-069
6/20/2021,Loveland,7 Lakes Park,LV,Culex tarsalis,102,CDC Light Trap,LV-078
6/20/2021,Loveland,7 Lakes Park,LV,Culex pipiens,2,CDC Light Trap,LV-078
6/20/2021,Loveland,7 Lakes Gravid,LV,Culex pipiens,6,Gravid Trap,LV-079gr
6/20/2021,Loveland,Harding and Reagan,LV,Culex tarsalis,9,CDC Light Trap,LV-080
6/20/2021,Loveland,Pond at Silver Lake,LV,Culex tarsalis,10,CDC Light Trap,LV-093
6/20/2021,Loveland,Boyd Lake,LV,Culex tarsalis,9,CDC Light Trap,LV-095
6/20/2021,Loveland,Sundisk and 13E,LV,Culex tarsalis,2,CDC Light Trap,LV-116
6/20/2021,Loveland,Centerra,LV,Culex tarsalis,16,CDC Light Trap,LV-117
6/21/2021,Loveland,Jefferson and 11th,LV,Culex pipiens,5,CDC Light Trap,LV-074
6/21/2021,Loveland,Jefferson and 11th,LV,Culex tarsalis,44,CDC Light Trap,LV-074
6/21/2021,Loveland,Jefferson And 11th Gravid,LV,Culex pipiens,6,Gravid Trap,LV-074gr
6/21/2021,Loveland,1105 East 1st Street,LV,Culex tarsalis,27,CDC Light Trap,LV-077
6/21/2021,Loveland,9th and DesMoines,LV,Culex pipiens,5,CDC Light Trap,LV-089
6/21/2021,Loveland,9th and DesMoines,LV,Culex tarsalis,195,CDC Light Trap,LV-089
6/21/2021,Loveland,Blue Tree Realty,LV,Culex tarsalis,12,CDC Light Trap,LV-100
6/21/2021,Loveland,Blue Tree Realty,LV,Culex pipiens,6,CDC Light Trap,LV-100
6/21/2021,Loveland,Cr 20 and 9,LV,Culex pipiens,7,CDC Light Trap,LV-104
6/21/2021,Loveland,Cr 20 and 9,LV,Culex tarsalis,155,CDC Light Trap,LV-104
6/21/2021,Loveland,Big Thompson ,LV,Culex tarsalis,32,CDC Light Trap,LV-110
6/21/2021,Loveland,915 S Boise,LV,Culex tarsalis,85,CDC Light Trap,LV-112
6/21/2021,Loveland,915 S Boise,LV,Culex pipiens,2,CDC Light Trap,LV-112
6/21/2021,Loveland,Springs at Marianna,LV,Culex tarsalis,17,CDC Light Trap,LV-113
6/21/2021,Loveland,Golf Vista,LV,Culex tarsalis,6,CDC Light Trap,LV-118
6/21/2021,Loveland,Storage Yard and 2nd St,LV,Culex tarsalis,6,CDC Light Trap,LV-124
6/21/2021,Loveland,8th And No Name,LV,Culex pipiens,4,CDC Light Trap,LV-125
6/21/2021,Loveland,8th And No Name,LV,Culex tarsalis,62,CDC Light Trap,LV-125
6/22/2021,Loveland,Jocelyn and Eagle,LV,Culex pipiens,2,CDC Light Trap,LV-019
6/22/2021,Loveland,Jocelyn and Eagle,LV,Culex tarsalis,26,CDC Light Trap,LV-019
6/22/2021,Loveland,Cattail Pond,LV,Culex tarsalis,108,CDC Light Trap,LV-020
6/22/2021,Loveland,Linda and 26th ,LV,Culex tarsalis,37,CDC Light Trap,LV-021
6/22/2021,Loveland,2001 S Douglas,LV,Culex pipiens,6,CDC Light Trap,LV-042
6/22/2021,Loveland,2001 S Douglas,LV,Culex tarsalis,126,CDC Light Trap,LV-042
6/22/2021,Loveland,Del Norte Private Park,LV,Culex pipiens,4,CDC Light Trap,LV-067
6/22/2021,Loveland,Del Norte Private Park,LV,Culex tarsalis,62,CDC Light Trap,LV-067
6/22/2021,Loveland,Jill Drive Pond,LV,Culex tarsalis,26,CDC Light Trap,LV-114
6/22/2021,Loveland,End of City Limits North,LV,Culex tarsalis,8,CDC Light Trap,LV-120
6/23/2021,Loveland,Hendler Gravid,LV,Culex pipiens,94,Gravid Trap,LV-010gr
6/23/2021,Loveland,Estrella Park,LV,Culex tarsalis,8,CDC Light Trap,LV-014
6/23/2021,Loveland,Farasita at Rist Benson,LV,Culex tarsalis,19,CDC Light Trap,LV-097
6/23/2021,Loveland,Benson Sculpture Park,LV,Culex tarsalis,25,CDC Light Trap,LV-098
6/23/2021,Loveland,Benson Sculpture Park,LV,Culex pipiens,3,CDC Light Trap,LV-098
6/23/2021,Loveland,Cattails Golfcourse,LV,Culex tarsalis,4,CDC Light Trap,LV-099
6/23/2021,Loveland,Glen Isle Ditch,LV,Culex pipiens,3,CDC Light Trap,LV-102
6/23/2021,Loveland,Glen Isle Ditch,LV,Culex tarsalis,7,CDC Light Trap,LV-102
6/23/2021,Loveland,Bayfield and Windsor,LV,Culex tarsalis,4,CDC Light Trap,LV-121
6/23/2021,Loveland,Fallgold,LV,Culex tarsalis,11,CDC Light Trap,LV-122
6/20/2021,Timnath,Timnath - 5th and Kern,TT,Culex tarsalis,9,CDC Light Trap,LC-010 
6/20/2021,Timnath,Timnath - Summerfields,TT,Culex tarsalis,1,CDC Light Trap,LC-048 
6/20/2021,Timnath,Timnath - Wildwing,TT,Culex tarsalis,46,CDC Light Trap,LC-050 
6/20/2021,Timnath,Timnath - Wildwing,TT,Culex pipiens,1,CDC Light Trap,LC-050 
6/20/2021,Timnath,Timnath - Serratoga Falls,TT,Culex tarsalis,12,CDC Light Trap,LC-051 
6/20/2021,Timnath,Timnath - Walmart,TT,Culex tarsalis,37,CDC Light Trap,LC-052 
6/20/2021,Timnath,Timnath - Walmart,TT,Culex pipiens,2,CDC Light Trap,LC-052 
