date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
6/7/2022,Berthoud,Berthoud Park,BE,Culex tarsalis,9,CDC Light Trap,LC-001 
6/7/2022,Berthoud,Berthoud Point,BE,Culex tarsalis,33,CDC Light Trap,LC-054 
6/5/2022,Fort Collins,N. Linden,NE,Culex tarsalis,1,CDC Light Trap,FC-006
6/5/2022,Fort Collins,Edora Park,NE,Culex tarsalis,5,CDC Light Trap,FC-019
6/5/2022,Fort Collins,Hemlock,NW,Culex tarsalis,1,CDC Light Trap,FC-036 
6/5/2022,Fort Collins,Lochside Lane,NE,Culex tarsalis,1,CDC Light Trap,FC-038
6/5/2022,Fort Collins,Redwood Gravid,NE,Culex pipiens,6,Gravid Trap,FC-040gr
6/5/2022,Fort Collins,Prospect Ponds,NE,Culex tarsalis,32,CDC Light Trap,FC-066
6/5/2022,Fort Collins,Prospect Ponds Gravid,NE,Culex pipiens,1,Gravid Trap,FC-066gr
6/5/2022,Fort Collins,Prospect Ponds Gravid,NE,Culex tarsalis,1,Gravid Trap,FC-066gr
6/5/2022,Fort Collins,422 Lake Dr,NE,Culex tarsalis,20,CDC Light Trap,FC-072
6/6/2022,Fort Collins,Big Horn,SE,Culex tarsalis,7,CDC Light Trap,FC-004
6/6/2022,Fort Collins,3001 San Luis,SE,Culex tarsalis,17,CDC Light Trap,FC-027
6/6/2022,Fort Collins,3001 San Luis,SE,Culex pipiens,2,CDC Light Trap,FC-027
6/6/2022,Fort Collins,Willow Springs,SE,Culex tarsalis,1,CDC Light Trap,FC-031
6/6/2022,Fort Collins,Fossil Creek South,SE,Culex tarsalis,3,CDC Light Trap,FC-039
6/6/2022,Fort Collins,Westshore Ct,SE,Culex tarsalis,2,CDC Light Trap,FC-046
6/6/2022,Fort Collins,Golden Meadows Ditch,SE,Culex pipiens,1,CDC Light Trap,FC-050
6/6/2022,Fort Collins,Golden Meadows Ditch,SE,Culex tarsalis,4,CDC Light Trap,FC-050
6/6/2022,Fort Collins,Egret and Rookery,SE,Culex pipiens,1,CDC Light Trap,FC-053
6/6/2022,Fort Collins,Egret and Rookery,SE,Culex tarsalis,13,CDC Light Trap,FC-053
6/6/2022,Fort Collins,Springwood and Lochwood,SE,Culex tarsalis,1,CDC Light Trap,FC-059
6/6/2022,Fort Collins,West Chase,SE,Culex tarsalis,3,CDC Light Trap,FC-064
6/6/2022,Fort Collins,Rock Creek,SE,Culex tarsalis,27,CDC Light Trap,FC-074
6/6/2022,Fort Collins,Sage Creek North,SE,Culex tarsalis,1,CDC Light Trap,FC-075
6/6/2022,Fort Collins,English Ranch Park Gravid,SE,Culex pipiens,8,Gravid Trap,FC-088gr
