date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
9/11/2023,Fort Collins,N. Linden,NE,Culex pipiens,3,CDC Light Trap,FC-006
9/11/2023,Fort Collins,FC Visitor Center,NE,Culex pipiens,224,CDC Light Trap,FC-014
9/11/2023,Fort Collins,FC Visitor Center,NE,Culex tarsalis,5,CDC Light Trap,FC-014
9/11/2023,Fort Collins,Stuart and Dorset,NW,Culex pipiens,1,CDC Light Trap,FC-015
9/11/2023,Fort Collins,Country Club,NE,Culex pipiens,1,CDC Light Trap,FC-034
9/11/2023,Fort Collins,Country Club,NE,Culex tarsalis,5,CDC Light Trap,FC-034
9/11/2023,Fort Collins,Hemlock,NW,Culex pipiens,8,CDC Light Trap,FC-036 
9/11/2023,Fort Collins,Lochside Lane,NE,Culex pipiens,1,CDC Light Trap,FC-038
9/11/2023,Fort Collins,Redwood,NE,Culex pipiens,6,CDC Light Trap,FC-040
9/11/2023,Fort Collins,Redwood Gravid,NE,Culex pipiens,23,Gravid Trap,FC-040gr
9/11/2023,Fort Collins,808 Ponderosa,NW,Culex pipiens,3,CDC Light Trap,FC-060
9/11/2023,Fort Collins,"821 W Lake St, Fort Collins, CO 80521, USA",NW,Culex pipiens,2,CDC Light Trap,FC-061
9/11/2023,Fort Collins,Red Fox Meadows,NW,Culex pipiens,1,CDC Light Trap,FC-063
9/11/2023,Fort Collins,Red Fox Meadows Gravid,NW,Culex pipiens,8,Gravid Trap,FC-063gr
9/11/2023,Fort Collins,Prospect Ponds,NE,Culex tarsalis,1,CDC Light Trap,FC-066
9/11/2023,Fort Collins,Prospect Ponds,NE,Culex pipiens,77,CDC Light Trap,FC-066
9/11/2023,Fort Collins,118 S Grant ,NW,Culex pipiens,2,CDC Light Trap,FC-073
9/11/2023,Fort Collins,Mountain Grandview Cemetery Gravid,NW,Culex pipiens,1,Gravid Trap,FC-090gr
9/11/2023,Fort Collins,Udall Natural Gravid,NE,Culex pipiens,19,Gravid Trap,FC-092gr
9/12/2023,Fort Collins,Big Horn,SE,Culex tarsalis,1,CDC Light Trap,FC-004
9/12/2023,Fort Collins,Big Horn,SE,Culex pipiens,16,CDC Light Trap,FC-004
9/12/2023,Fort Collins,Boltz,SE,Culex tarsalis,1,CDC Light Trap,FC-023
9/12/2023,Fort Collins,3001 San Luis,SE,Culex pipiens,17,CDC Light Trap,FC-027
9/12/2023,Fort Collins,Ben's Park,SE,Culex tarsalis,2,CDC Light Trap,FC-029
9/12/2023,Fort Collins,Ben's Park,SE,Culex pipiens,1,CDC Light Trap,FC-029
9/12/2023,Fort Collins,Ben's Park Gravid,SE,Culex pipiens,10,Gravid Trap,FC-029gr
9/12/2023,Fort Collins,Willow Springs,SE,Culex pipiens,4,CDC Light Trap,FC-031
9/12/2023,Fort Collins,Chelsea Ridge,SW,Culex pipiens,6,CDC Light Trap,FC-037
9/12/2023,Fort Collins,Chelsea Ridge,SW,Culex tarsalis,4,CDC Light Trap,FC-037
9/12/2023,Fort Collins,Fossil Creek South,SE,Culex pipiens,9,CDC Light Trap,FC-039
9/12/2023,Fort Collins,Fossil Creek South,SE,Culex tarsalis,1,CDC Light Trap,FC-039
9/12/2023,Fort Collins,Westshore Ct,SE,Culex pipiens,9,CDC Light Trap,FC-046
9/12/2023,Fort Collins,Golden Meadows Ditch,SE,Culex pipiens,12,CDC Light Trap,FC-050
9/12/2023,Fort Collins,Golden Meadows Ditch,SE,Culex tarsalis,1,CDC Light Trap,FC-050
9/12/2023,Fort Collins,Registry Ridge,SW,Culex pipiens,1,CDC Light Trap,FC-057
9/12/2023,Fort Collins,Springwood and Lochwood,SE,Culex pipiens,7,CDC Light Trap,FC-059
9/12/2023,Fort Collins,Water's Edge at Blue Mesa,SW,Culex pipiens,1,CDC Light Trap,FC-062
9/12/2023,Fort Collins,West Chase,SE,Culex pipiens,6,CDC Light Trap,FC-064
9/12/2023,Fort Collins,Rock Creek,SE,Culex pipiens,5,CDC Light Trap,FC-074
9/12/2023,Fort Collins,Rock Creek,SE,Culex tarsalis,1,CDC Light Trap,FC-074
9/12/2023,Fort Collins,Sage Creek North,SE,Culex pipiens,11,CDC Light Trap,FC-075
9/12/2023,Fort Collins,Sage Creek North Gravid,SE,Culex pipiens,9,Gravid Trap,FC-075gr
9/12/2023,Fort Collins,English Ranch Park Gravid,SE,Culex pipiens,10,Gravid Trap,FC-088gr
9/12/2023,Fort Collins,Kunz Ct. and Brook Dr. Gravid,SW,Culex pipiens,5,Gravid Trap,FC-089gr
9/12/2023,Fort Collins,Lopez Elementary,SW,Culex pipiens,1,CDC Light Trap,FC-093
9/13/2023,Fort Collins,Egret and Rookery,SE,Culex pipiens,4,CDC Light Trap,FC-053
9/13/2023,Fort Collins,Egret and Rookery,SE,Culex tarsalis,1,CDC Light Trap,FC-053
