date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name,trap_team
6/29/2021,Fort Collins,Casa Grande and Downing,SW,Culex pipiens,5,CDC Light Trap,FC-049,
6/29/2021,Fort Collins,Casa Grande and Downing,SW,Culex tarsalis,6,CDC Light Trap,FC-049,
6/29/2021,Fort Collins,603 Gilgalad Way,NW,Culex pipiens,1,CDC Light Trap,FC-052,
6/29/2021,Fort Collins,603 Gilgalad Way,NW,Culex tarsalis,2,CDC Light Trap,FC-052,
6/29/2021,Fort Collins,Spring Creek Trail-- Michener Dr,SW,Culex pipiens,3,CDC Light Trap,FC-058,
6/29/2021,Fort Collins,Spring Creek Trail-- Michener Dr,SW,Culex tarsalis,3,CDC Light Trap,FC-058,
6/29/2021,Fort Collins,808 Ponderosa,NW,Culex pipiens,1,CDC Light Trap,FC-060,
6/29/2021,Fort Collins,808 Ponderosa,NW,Culex tarsalis,9,CDC Light Trap,FC-060,
6/29/2021,Fort Collins,Holley Plant Research Center,NW,Culex pipiens,16,CDC Light Trap,FC-061,
6/29/2021,Fort Collins,Holley Plant Research Center,NW,Culex tarsalis,41,CDC Light Trap,FC-061,
6/29/2021,Fort Collins,Red Fox Meadows,NW,Culex pipiens,1,CDC Light Trap,FC-063,
6/29/2021,Fort Collins,Red Fox Meadows,NW,Culex tarsalis,8,CDC Light Trap,FC-063,
6/29/2021,Fort Collins,Red Fox Meadows Gravid,NW,Culex pipiens,2,Gravid Trap,FC-063gr,
6/29/2021,Fort Collins,118 S Grant ,NW,Culex pipiens,18,CDC Light Trap,FC-073,
6/29/2021,Fort Collins,118 S Grant ,NW,Culex tarsalis,42,CDC Light Trap,FC-073,
6/29/2021,Fort Collins,Mountain Grandview Cemetery Gravid,NW,Culex pipiens,38,Gravid Trap,FC-090gr,
6/30/2021,Fort Collins,Magic Carpet,SW,Culex pipiens,4,CDC Light Trap,FC-001,
6/30/2021,Fort Collins,Magic Carpet,SW,Culex tarsalis,8,CDC Light Trap,FC-001,
6/30/2021,Fort Collins,Ben's Park,SE,Culex tarsalis,5,CDC Light Trap,FC-029,
6/30/2021,Fort Collins,Ben's Park Gravid,SE,Culex pipiens,43,Gravid Trap,FC-029gr,
6/30/2021,Fort Collins,737 Parliament,SE,Culex pipiens,3,CDC Light Trap,FC-054,
6/30/2021,Fort Collins,737 Parliament,SE,Culex tarsalis,78,CDC Light Trap,FC-054,
6/30/2021,Fort Collins,5029 Crest Dr,SW,Culex pipiens,2,CDC Light Trap,FC-068,
6/30/2021,Fort Collins,5029 Crest Dr,SW,Culex tarsalis,17,CDC Light Trap,FC-068,
6/30/2021,Fort Collins,Kunz Ct. and Brook Dr. Gravid,SW,Culex pipiens,25,Gravid Trap,FC-089gr,
6/30/2021,Fort Collins,Lopez Elementary,SW,Culex tarsalis,17,CDC Light Trap,FC-093,
7/1/2021,Fort Collins,Chelsea Ridge,SW,Culex tarsalis,26,CDC Light Trap,FC-037,
7/1/2021,Fort Collins,Registry Ridge,SW,Culex pipiens,1,CDC Light Trap,FC-057,
7/1/2021,Fort Collins,Registry Ridge,SW,Culex tarsalis,17,CDC Light Trap,FC-057,
7/1/2021,Fort Collins,Water's Edge at Blue Mesa,SW,Culex pipiens,3,CDC Light Trap,FC-062,
7/1/2021,Fort Collins,Water's Edge at Blue Mesa,SW,Culex tarsalis,9,CDC Light Trap,FC-062,
7/1/2021,Fort Collins,Silvergate Rd,SW,Culex tarsalis,4,CDC Light Trap,FC-071,
6/27/2021,Loveland,29th and Madison,LV,Culex tarsalis,47,CDC Light Trap,LV-004,
6/27/2021,Loveland,Outlet Mall Apartments,LV,Culex pipiens,6,CDC Light Trap,LV-066,
6/27/2021,Loveland,Outlet Mall Apartments,LV,Culex tarsalis,73,CDC Light Trap,LV-066,
6/27/2021,Loveland,Horseshoe Pennninsula,LV,Culex pipiens,2,CDC Light Trap,LV-069,
6/27/2021,Loveland,Horseshoe Pennninsula,LV,Culex tarsalis,24,CDC Light Trap,LV-069,
6/27/2021,Loveland,7 Lakes Park,LV,Culex tarsalis,22,CDC Light Trap,LV-078,
6/27/2021,Loveland,7 Lakes Gravid,LV,Culex pipiens,13,Gravid Trap,LV-079gr,
6/27/2021,Loveland,Harding and Reagan,LV,Culex tarsalis,24,CDC Light Trap,LV-080,
6/27/2021,Loveland,2229 Arikaree,LV,Culex pipiens,4,CDC Light Trap,LV-088,
6/27/2021,Loveland,2229 Arikaree,LV,Culex tarsalis,31,CDC Light Trap,LV-088,
6/27/2021,Loveland,Pond at Silver Lake,LV,Culex pipiens,7,CDC Light Trap,LV-093,
6/27/2021,Loveland,Pond at Silver Lake,LV,Culex tarsalis,16,CDC Light Trap,LV-093,
6/27/2021,Loveland,Boyd Lake,LV,Culex tarsalis,111,CDC Light Trap,LV-095,
6/27/2021,Loveland,Sundisk and 13E,LV,Culex pipiens,2,CDC Light Trap,LV-116,
6/27/2021,Loveland,Sundisk and 13E,LV,Culex tarsalis,3,CDC Light Trap,LV-116,
6/27/2021,Loveland,Centerra,LV,Culex pipiens,2,CDC Light Trap,LV-117,
6/27/2021,Loveland,Centerra,LV,Culex tarsalis,21,CDC Light Trap,LV-117,
6/28/2021,Loveland,Jefferson and 11th,LV,Culex tarsalis,1,CDC Light Trap,LV-074,
6/28/2021,Loveland,Jefferson And 11th Gravid,LV,Culex pipiens,12,Gravid Trap,LV-074gr,
6/28/2021,Loveland,1105 East 1st Street,LV,Culex pipiens,1,CDC Light Trap,LV-077,
6/28/2021,Loveland,1105 East 1st Street,LV,Culex tarsalis,20,CDC Light Trap,LV-077,
6/28/2021,Loveland,9th and DesMoines,LV,Culex pipiens,13,CDC Light Trap,LV-089,
6/28/2021,Loveland,9th and DesMoines,LV,Culex tarsalis,132,CDC Light Trap,LV-089,
6/28/2021,Loveland,Blue Tree Realty,LV,Culex tarsalis,8,CDC Light Trap,LV-100,
6/28/2021,Loveland,Blue Tree Realty,LV,Culex pipiens,10,CDC Light Trap,LV-100,
6/28/2021,Loveland,Cr 20 and 9,LV,Culex pipiens,19,CDC Light Trap,LV-104,
6/28/2021,Loveland,Cr 20 and 9,LV,Culex tarsalis,349,CDC Light Trap,LV-104,
6/28/2021,Loveland,Big Thompson ,LV,Culex pipiens,2,CDC Light Trap,LV-110,
6/28/2021,Loveland,Big Thompson ,LV,Culex tarsalis,30,CDC Light Trap,LV-110,
6/28/2021,Loveland,915 S Boise,LV,Culex pipiens,6,CDC Light Trap,LV-112,
6/28/2021,Loveland,915 S Boise,LV,Culex tarsalis,73,CDC Light Trap,LV-112,
6/28/2021,Loveland,Springs at Marianna,LV,Culex pipiens,1,CDC Light Trap,LV-113,
6/28/2021,Loveland,Springs at Marianna,LV,Culex tarsalis,4,CDC Light Trap,LV-113,
6/28/2021,Loveland,Golf Vista,LV,Culex pipiens,1,CDC Light Trap,LV-118,
6/28/2021,Loveland,Golf Vista,LV,Culex tarsalis,8,CDC Light Trap,LV-118,
6/28/2021,Loveland,Storage Yard and 2nd St,LV,Culex tarsalis,69,CDC Light Trap,LV-124,
6/28/2021,Loveland,8th And No Name,LV,Culex pipiens,10,CDC Light Trap,LV-125,
6/28/2021,Loveland,8th And No Name,LV,Culex tarsalis,23,CDC Light Trap,LV-125,
6/29/2021,Loveland,Cattail Pond,LV,Culex pipiens,13,CDC Light Trap,LV-020,
6/29/2021,Loveland,Cattail Pond,LV,Culex tarsalis,368,CDC Light Trap,LV-020,
6/29/2021,Loveland,Linda and 26th ,LV,Culex pipiens,1,CDC Light Trap,LV-021,
6/29/2021,Loveland,Linda and 26th ,LV,Culex tarsalis,43,CDC Light Trap,LV-021,
6/29/2021,Loveland,2001 S Douglas,LV,Culex pipiens,24,CDC Light Trap,LV-042,
6/29/2021,Loveland,2001 S Douglas,LV,Culex tarsalis,188,CDC Light Trap,LV-042,
6/29/2021,Loveland,Del Norte Private Park,LV,Culex pipiens,8,CDC Light Trap,LV-067,
