date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
6/21/2022,Berthoud,Berthoud Park,BE,Culex tarsalis,4,CDC Light Trap,LC-001 
6/21/2022,Berthoud,Berthoud Park,BE,Culex pipiens,1,CDC Light Trap,LC-001 
6/21/2022,Berthoud,Berthoud North,BE,Culex tarsalis,5,CDC Light Trap,LC-049 
6/21/2022,Berthoud,Berthoud West,BE,Culex tarsalis,2,CDC Light Trap,LC-053 
6/21/2022,Berthoud,Berthoud Point,BE,Culex tarsalis,22,CDC Light Trap,LC-054 
6/19/2022,Fort Collins,FC Visitor Center,NE,Culex tarsalis,8,CDC Light Trap,FC-014
6/19/2022,Fort Collins,Edora Park,NE,Culex tarsalis,19,CDC Light Trap,FC-019
6/19/2022,Fort Collins,Country Club,NE,Culex tarsalis,7,CDC Light Trap,FC-034
6/19/2022,Fort Collins,Hemlock,NW,Culex tarsalis,4,CDC Light Trap,FC-036 
6/19/2022,Fort Collins,Lochside Lane,NE,Culex pipiens,2,CDC Light Trap,FC-038
6/19/2022,Fort Collins,Lochside Lane,NE,Culex tarsalis,10,CDC Light Trap,FC-038
6/19/2022,Fort Collins,Redwood,NE,Culex tarsalis,4,CDC Light Trap,FC-040
6/19/2022,Fort Collins,Redwood,NE,Culex pipiens,1,CDC Light Trap,FC-040
6/19/2022,Fort Collins,Redwood Gravid,NE,Culex pipiens,8,Gravid Trap,FC-040gr
6/19/2022,Fort Collins,Prospect Ponds,NE,Culex pipiens,33,CDC Light Trap,FC-066
6/19/2022,Fort Collins,Prospect Ponds,NE,Culex tarsalis,97,CDC Light Trap,FC-066
6/19/2022,Fort Collins,Prospect Ponds Gravid,NE,Culex tarsalis,1,Gravid Trap,FC-066gr
6/19/2022,Fort Collins,Poudre River Trail,NE,Culex tarsalis,3,CDC Light Trap,FC-067
6/19/2022,Fort Collins,Linden Lake Rd,NE,Culex tarsalis,7,CDC Light Trap,FC-069
6/19/2022,Fort Collins,Linden Lake Rd,NE,Culex pipiens,1,CDC Light Trap,FC-069
6/19/2022,Fort Collins,422 Lake Dr,NE,Culex tarsalis,16,CDC Light Trap,FC-072
6/19/2022,Fort Collins,422 Lake Dr,NE,Culex pipiens,2,CDC Light Trap,FC-072
6/19/2022,Fort Collins,Udall Natural Gravid,NE,Culex pipiens,4,Gravid Trap,FC-092gr
6/20/2022,Fort Collins,Big Horn,SE,Culex pipiens,2,CDC Light Trap,FC-004
6/20/2022,Fort Collins,Big Horn,SE,Culex tarsalis,7,CDC Light Trap,FC-004
6/20/2022,Fort Collins,Boltz,SE,Culex tarsalis,3,CDC Light Trap,FC-023
6/20/2022,Fort Collins,3001 San Luis,SE,Culex pipiens,1,CDC Light Trap,FC-027
6/20/2022,Fort Collins,3001 San Luis,SE,Culex tarsalis,15,CDC Light Trap,FC-027
6/20/2022,Fort Collins,Willow Springs,SE,Culex tarsalis,18,CDC Light Trap,FC-031
6/20/2022,Fort Collins,Fossil Creek South,SE,Culex tarsalis,6,CDC Light Trap,FC-039
6/20/2022,Fort Collins,Westshore Ct,SE,Culex pipiens,1,CDC Light Trap,FC-046
6/20/2022,Fort Collins,Westshore Ct,SE,Culex tarsalis,10,CDC Light Trap,FC-046
6/20/2022,Fort Collins,Keeneland And Twin Oak,SE,Culex tarsalis,2,CDC Light Trap,FC-047
6/20/2022,Fort Collins,Golden Meadows Ditch,SE,Culex tarsalis,4,CDC Light Trap,FC-050
6/20/2022,Fort Collins,Egret and Rookery,SE,Culex tarsalis,7,CDC Light Trap,FC-053
6/20/2022,Fort Collins,Springwood and Lochwood,SE,Culex tarsalis,2,CDC Light Trap,FC-059
6/20/2022,Fort Collins,Springwood and Lochwood,SE,Culex pipiens,1,CDC Light Trap,FC-059
6/20/2022,Fort Collins,West Chase,SE,Culex pipiens,1,CDC Light Trap,FC-064
6/20/2022,Fort Collins,West Chase,SE,Culex tarsalis,19,CDC Light Trap,FC-064
6/20/2022,Fort Collins,Sage Creek North,SE,Culex tarsalis,33,CDC Light Trap,FC-075
6/20/2022,Fort Collins,Sage Creek North,SE,Culex pipiens,2,CDC Light Trap,FC-075
6/20/2022,Fort Collins,Sage Creek North Gravid,SE,Culex pipiens,4,Gravid Trap,FC-075gr
6/20/2022,Fort Collins,English Ranch Park Gravid,SE,Culex pipiens,19,Gravid Trap,FC-088gr
6/21/2022,Fort Collins,Golden Current,NW,Culex pipiens,1,CDC Light Trap,FC-011
6/21/2022,Fort Collins,Fishback,NW,Culex tarsalis,5,CDC Light Trap,FC-041
6/21/2022,Fort Collins,Fishback,NW,Culex pipiens,1,CDC Light Trap,FC-041
6/21/2022,Fort Collins,Casa Grande and Downing,SW,Culex pipiens,1,CDC Light Trap,FC-049
6/21/2022,Fort Collins,Holley Plant Research Center,NW,Culex tarsalis,1,CDC Light Trap,FC-061
6/21/2022,Fort Collins,118 S Grant ,NW,Culex tarsalis,8,CDC Light Trap,FC-073
6/21/2022,Fort Collins,118 S Grant ,NW,Culex pipiens,4,CDC Light Trap,FC-073
6/21/2022,Fort Collins,Mountain Grandview Cemetery Gravid,NW,Culex pipiens,3,Gravid Trap,FC-090gr
6/22/2022,Fort Collins,Magic Carpet,SW,Culex tarsalis,1,CDC Light Trap,FC-001
6/22/2022,Fort Collins,Ben's Park,SE,Culex tarsalis,5,CDC Light Trap,FC-029
6/22/2022,Fort Collins,Ben's Park Gravid,SE,Culex pipiens,6,Gravid Trap,FC-029gr
6/22/2022,Fort Collins,Chelsea Ridge,SW,Culex tarsalis,11,CDC Light Trap,FC-037
6/22/2022,Fort Collins,737 Parliament,SE,Culex tarsalis,7,CDC Light Trap,FC-054
6/22/2022,Fort Collins,Registry Ridge,SW,Culex tarsalis,1,CDC Light Trap,FC-057
6/22/2022,Fort Collins,5029 Crest Dr,SW,Culex tarsalis,1,CDC Light Trap,FC-068
6/22/2022,Fort Collins,Silvergate Rd,SW,Culex tarsalis,2,CDC Light Trap,FC-071
6/22/2022,Fort Collins,Kunz Ct. and Brook Dr. Gravid,SW,Culex pipiens,3,Gravid Trap,FC-089gr
6/22/2022,Fort Collins,Lopez Elementary,SW,Culex pipiens,2,CDC Light Trap,FC-093
6/22/2022,Fort Collins,Lopez Elementary,SW,Culex tarsalis,4,CDC Light Trap,FC-093
6/19/2022,Loveland,29th and Madison,LV,Culex tarsalis,6,CDC Light Trap,LV-004
6/19/2022,Loveland,Outlet Mall Apartments,LV,Culex tarsalis,10,CDC Light Trap,LV-066
6/19/2022,Loveland,Outlet Mall Apartments,LV,Culex pipiens,1,CDC Light Trap,LV-066
6/19/2022,Loveland,7 Lakes Park,LV,Culex tarsalis,17,CDC Light Trap,LV-078
6/19/2022,Loveland,7 Lakes Gravid,LV,Culex pipiens,13,Gravid Trap,LV-079gr
6/19/2022,Loveland,Harding and Reagan,LV,Culex pipiens,2,CDC Light Trap,LV-080
6/19/2022,Loveland,Harding and Reagan,LV,Culex tarsalis,21,CDC Light Trap,LV-080
