date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name
7/14/2020,Berthoud,Berthoud Park,BE,Culex pipiens,4,CDC Light Trap,LC-001 
7/14/2020,Berthoud,Berthoud Park,BE,Culex tarsalis,10,CDC Light Trap,LC-001 
7/14/2020,Berthoud,Berthoud Point,BE,Culex pipiens,2,CDC Light Trap,LC-054 
7/14/2020,Berthoud,Berthoud Point,BE,Culex tarsalis,6,CDC Light Trap,LC-054 
7/14/2020,Berthoud,Berthoud East,BE,Culex tarsalis,1,CDC Light Trap,LC-055
7/12/2020,Fort Collins,N. Linden,NE,Culex tarsalis,11,CDC Light Trap,FC-006
7/12/2020,Fort Collins,FC Visitors Center,NE,Culex pipiens,1,CDC Light Trap,FC-014
7/12/2020,Fort Collins,FC Visitors Center,NE,Culex tarsalis,31,CDC Light Trap,FC-014
7/12/2020,Fort Collins,Edora Park,NE,Culex pipiens,5,CDC Light Trap,FC-019
7/12/2020,Fort Collins,Edora Park,NE,Culex tarsalis,38,CDC Light Trap,FC-019
7/12/2020,Fort Collins,Country Club,NE,Culex tarsalis,32,CDC Light Trap,FC-034
7/12/2020,Fort Collins,Hemlock,NW,Culex tarsalis,21,CDC Light Trap,FC-036 
7/12/2020,Fort Collins,Hemlock,NW,Culex pipiens,16,CDC Light Trap,FC-036 
7/12/2020,Fort Collins,Lochside Lane,NE,Culex tarsalis,22,CDC Light Trap,FC-038
7/12/2020,Fort Collins,Redwood,NE,Culex pipiens,8,CDC Light Trap,FC-040
7/12/2020,Fort Collins,Redwood,NE,Culex tarsalis,30,CDC Light Trap,FC-040
7/12/2020,Fort Collins,Redwood Gravid,NE,Culex pipiens,149,Gravid Trap,FC-040gr
7/12/2020,Fort Collins,Prospect Ponds,NE,Culex tarsalis,105,CDC Light Trap,FC-066
7/12/2020,Fort Collins,Prospect Ponds,NE,Culex pipiens,5,CDC Light Trap,FC-066
7/12/2020,Fort Collins,Prospect Ponds Gravid,NE,Culex pipiens,142,Gravid Trap,FC-066gr
7/12/2020,Fort Collins,Poudre River Trail,NE,Culex tarsalis,5,CDC Light Trap,FC-067
7/12/2020,Fort Collins,Linden Lake Rd,NE,Culex pipiens,6,CDC Light Trap,FC-069
7/12/2020,Fort Collins,Linden Lake Rd,NE,Culex tarsalis,22,CDC Light Trap,FC-069
7/12/2020,Fort Collins,422 Lake Dr,NE,Culex pipiens,4,CDC Light Trap,FC-072
7/12/2020,Fort Collins,422 Lake Dr,NE,Culex tarsalis,11,CDC Light Trap,FC-072
7/12/2020,Fort Collins,PVH Gravid,NE,Culex pipiens,13,Gravid Trap,FC-091gr
7/13/2020,Fort Collins,Big Horn,SE,Culex tarsalis,3,CDC Light Trap,FC-004
7/13/2020,Fort Collins,Boltz,SE,Culex pipiens,1,CDC Light Trap,FC-023
7/13/2020,Fort Collins,3001 San Luis,SE,Culex tarsalis,30,CDC Light Trap,FC-027
7/13/2020,Fort Collins,Willow Springs,SE,Culex pipiens,3,CDC Light Trap,FC-031
7/13/2020,Fort Collins,Willow Springs,SE,Culex tarsalis,67,CDC Light Trap,FC-031
7/13/2020,Fort Collins,Fossil Creek South,SE,Culex tarsalis,22,CDC Light Trap,FC-039
7/13/2020,Fort Collins,Westshore Ct,SE,Culex tarsalis,15,CDC Light Trap,FC-046
7/13/2020,Fort Collins,Westshore Ct,SE,Culex pipiens,20,CDC Light Trap,FC-046
7/13/2020,Fort Collins,Keeneland And Twin Oak,SE,Culex tarsalis,2,CDC Light Trap,FC-047
7/13/2020,Fort Collins,Golden Meadows Ditch,SE,Culex tarsalis,10,CDC Light Trap,FC-050
7/13/2020,Fort Collins,Golden Meadows Ditch,SE,Culex pipiens,4,CDC Light Trap,FC-050
7/13/2020,Fort Collins,Egret and Rookery,SE,Culex tarsalis,19,CDC Light Trap,FC-053
7/13/2020,Fort Collins,Springwood and Lochwood,SE,Culex tarsalis,5,CDC Light Trap,FC-059
7/13/2020,Fort Collins,Springwood and Lochwood,SE,Culex pipiens,5,CDC Light Trap,FC-059
7/13/2020,Fort Collins,West Chase,SE,Culex tarsalis,21,CDC Light Trap,FC-064
7/13/2020,Fort Collins,Rock Creek,SE,Culex tarsalis,3,CDC Light Trap,FC-074
7/13/2020,Fort Collins,Sage Creek North,SE,Culex tarsalis,3,CDC Light Trap,FC-075
7/13/2020,Fort Collins,Sage Creek North Gravid,SE,Culex pipiens,2,Gravid Trap,FC-075gr
7/13/2020,Fort Collins,English Ranch Park Gravid,SE,Culex pipiens,54,Gravid Trap,FC-088gr
7/14/2020,Fort Collins,Fishback,NW,Culex pipiens,4,CDC Light Trap,FC-041
7/14/2020,Fort Collins,Fishback,NW,Culex tarsalis,2,CDC Light Trap,FC-041
7/14/2020,Fort Collins,Casa Grande and Downing,SW,Culex tarsalis,1,CDC Light Trap,FC-049
7/14/2020,Fort Collins,Casa Grande and Downing,SW,Culex pipiens,1,CDC Light Trap,FC-049
7/14/2020,Fort Collins,603 Gilgalad Way,NW,Culex tarsalis,4,CDC Light Trap,FC-052
7/14/2020,Fort Collins,808 Ponderosa,NW,Culex tarsalis,1,CDC Light Trap,FC-060
7/14/2020,Fort Collins,808 Ponderosa,NW,Culex pipiens,18,CDC Light Trap,FC-060
7/14/2020,Fort Collins,Holley Plant Research Center,NW,Culex tarsalis,11,CDC Light Trap,FC-061
7/14/2020,Fort Collins,Holley Plant Research Center,NW,Culex pipiens,3,CDC Light Trap,FC-061
7/14/2020,Fort Collins,Red Fox Meadows,NW,Culex tarsalis,3,CDC Light Trap,FC-063
7/14/2020,Fort Collins,Red Fox Meadows Gravid,NW,Culex pipiens,46,Gravid Trap,FC-063gr
7/14/2020,Fort Collins,118 S Grant ,NW,Culex tarsalis,2,CDC Light Trap,FC-073
7/14/2020,Fort Collins,118 S Grant ,NW,Culex pipiens,7,CDC Light Trap,FC-073
7/14/2020,Fort Collins,Mountain Grandview Cemetery Gravid,NW,Culex pipiens,62,Gravid Trap,FC-090gr
7/15/2020,Fort Collins,Magic Carpet,SW,Culex tarsalis,2,CDC Light Trap,FC-001
7/15/2020,Fort Collins,Ben's Park,SE,Culex tarsalis,1,CDC Light Trap,FC-029
7/15/2020,Fort Collins,Chelsea Ridge,SW,Culex tarsalis,50,CDC Light Trap,FC-037
7/15/2020,Fort Collins,Chelsea Ridge,SW,Culex pipiens,3,CDC Light Trap,FC-037
7/15/2020,Fort Collins,737 Parliament,SE,Culex pipiens,1,CDC Light Trap,FC-054
7/15/2020,Fort Collins,737 Parliament,SE,Culex tarsalis,35,CDC Light Trap,FC-054
7/15/2020,Fort Collins,Registry Ridge,SW,Culex tarsalis,11,CDC Light Trap,FC-057
7/15/2020,Fort Collins,Water's Edge at Blue Mesa,SW,Culex tarsalis,1,CDC Light Trap,FC-062
7/15/2020,Fort Collins,5029 Crest Dr,SW,Culex tarsalis,1,CDC Light Trap,FC-068
7/15/2020,Fort Collins,Silvergate Rd,SW,Culex tarsalis,4,CDC Light Trap,FC-071
